inversion,displacement,exchange,insertion,inverted_displacement,inverted_exchange
180,167,175,173,184,176
160,160,169,177,164,174
156,160,161,166,164,167
160,159,161,164,160,157
156,158,157,153,160,156
149,157,157,155,154,161
151,155,143,151,154,155
151,154,146,148,156,157
150,155,150,150,152,155
143,151,149,147,152,155
147,151,145,145,152,153
145,154,146,145,150,158
145,150,145,144,150,154
144,155,145,144,151,151
145,152,143,144,151,151
144,157,144,145,153,149
143,158,143,145,143,147
143,152,144,145,149,148
143,152,143,145,148,146
143,152,143,145,149,145
143,159,143,145,146,144
143,155,143,145,150,144
143,148,144,145,152,147
143,156,144,145,149,144
143,150,143,145,147,145
143,153,143,145,155,146
143,152,143,145,149,144
143,152,143,145,148,147
143,156,143,145,149,145
143,152,143,145,153,148
143,154,143,145,149,145
143,153,143,145,150,147
143,148,143,145,153,145
143,153,144,145,154,148
143,148,143,145,152,144
143,148,143,145,149,143
143,148,143,145,155,145
143,153,143,145,151,145
143,152,143,145,147,145
143,153,143,145,146,149
143,161,143,145,146,146
143,155,143,145,149,148
143,155,143,145,146,148
143,155,143,145,146,145
143,145,143,145,146,147
143,145,143,145,146,144
143,146,143,145,148,145
143,151,145,145,147,143
143,156,144,145,148,144
143,157,144,145,147,145
143,157,144,145,145,145
143,153,144,145,145,147
143,157,143,145,145,145
143,150,143,145,145,145
143,149,143,145,145,147
143,153,143,145,145,147
143,153,143,145,145,147
143,150,143,145,145,144
143,153,143,145,145,146
143,151,143,145,145,143
143,148,143,145,145,147
143,148,144,145,145,150
143,150,143,145,145,144
143,153,144,145,145,149
143,150,144,145,145,143
143,153,143,145,145,147
143,154,143,145,145,148
143,154,143,145,145,148
143,156,143,145,145,145
143,150,143,145,145,146
143,154,143,145,145,145
143,152,143,145,145,147
143,154,143,145,145,147
143,151,143,145,145,147
143,154,143,145,145,148
143,153,143,145,145,143
143,152,144,145,145,147
143,152,143,145,145,146
143,149,144,145,145,146
143,145,144,145,145,145
143,145,144,145,145,144
143,154,144,145,145,147
143,154,143,145,145,148
143,153,143,145,145,147
143,154,143,145,145,148
143,154,143,145,145,143
143,150,143,145,145,146
143,154,143,145,145,148
143,149,144,145,145,147
143,146,143,145,145,144
143,149,143,145,145,144
143,151,143,145,145,145
143,149,144,145,145,143
143,153,145,145,145,143
143,152,143,145,145,143
143,154,143,145,145,145
143,145,143,145,145,148
143,155,144,145,145,146
143,145,144,145,145,144
143,144,144,145,145,143
